ciudades,nombre_de_la_ciudad,visualizaciones,tiempo_de_visualizacion_(horas),duracion_media_de_las_visualizaciones,fecha_publicacion,nombre_video
0x86e75ecb3d0b329d:0xb196100549c7974,Ciudad Juárez,10,0.2089,0:01:15,20220118,🤯 APRENDE a DISEÑAR LOGOS con ESTA TÉCNICA SECRETA en CorelDRAW
0x89c24fa5d33f083b:0xc80b8f06e177fe62,Nueva York,10,0.1794,0:01:04,20220118,🤯 APRENDE a DISEÑAR LOGOS con ESTA TÉCNICA SECRETA en CorelDRAW
0x8f6fa2babf743d51:0x68cf2238206ac9d3,Tegucigalpa,10,0.1072,0:00:38,20220118,🤯 APRENDE a DISEÑAR LOGOS con ESTA TÉCNICA SECRETA en CorelDRAW
0x91086d5a5ee8c7a9:0x9034500fa5fbc3ad,Cerro De Pasco,0,0.0,,20220118,🤯 APRENDE a DISEÑAR LOGOS con ESTA TÉCNICA SECRETA en CorelDRAW
0x91b25afd3fc7d087:0xea80a2b94d876b2b,Cajamarca,0,0.0,,20220118,🤯 APRENDE a DISEÑAR LOGOS con ESTA TÉCNICA SECRETA en CorelDRAW
0xd2e7cfcf174574d:0x6a47350d095cdfee,A Coruña,0,0.0,,20220118,🤯 APRENDE a DISEÑAR LOGOS con ESTA TÉCNICA SECRETA en CorelDRAW
Total,,2181,113.9934,0:03:08,20211111,🧐 La TABLETA GRÁFICA más BARATA y VENDIDA ¿Merece la pena_ Review VEIKK S640
0x9105c5f619ee3ec7:0x14206cb9cc452e4a,Lima,30,1.8936,0:03:47,20211111,🧐 La TABLETA GRÁFICA más BARATA y VENDIDA ¿Merece la pena_ Review VEIKK S640
0x85ce0026db097507:0x54061076265ee841,Ciudad de México,14,1.2249,0:05:14,20211111,🧐 La TABLETA GRÁFICA más BARATA y VENDIDA ¿Merece la pena_ Review VEIKK S640
0x85d1f8766c8d1063:0x991824bf7645cdf6,Tlalnepantla de Baz,0,0.0,,20211111,🧐 La TABLETA GRÁFICA más BARATA y VENDIDA ¿Merece la pena_ Review VEIKK S640
Total,,2047,173.0057,0:05:04,20220419,🤯 CONSEJOS PRÁCTICOS para CREAR LOGOS en CorelDRAW ▶ TUTORIAL
0x9105c5f619ee3ec7:0x14206cb9cc452e4a,Lima,58,5.1981,0:05:22,20220419,🤯 CONSEJOS PRÁCTICOS para CREAR LOGOS en CorelDRAW ▶ TUTORIAL
0x8e3f9bfd2da6cb29:0x239d635520a33914,Bogotá,31,1.532,0:02:57,20220419,🤯 CONSEJOS PRÁCTICOS para CREAR LOGOS en CorelDRAW ▶ TUTORIAL
0x85ce0026db097507:0x54061076265ee841,Ciudad de México,27,1.5609,0:03:28,20220419,🤯 CONSEJOS PRÁCTICOS para CREAR LOGOS en CorelDRAW ▶ TUTORIAL
Total,,1322,55.4837,0:02:31,20210902,CorelDRAW MAGIC ››Text EFFECT‹‹ 🌟 TIPS Tutorial ▶
0x9105c5f619ee3ec7:0x14206cb9cc452e4a,Lima,17,0.7409,0:02:36,20210902,CorelDRAW MAGIC ››Text EFFECT‹‹ 🌟 TIPS Tutorial ▶
0x85ce0026db097507:0x54061076265ee841,Ciudad de México,16,0.8803,0:03:18,20210902,CorelDRAW MAGIC ››Text EFFECT‹‹ 🌟 TIPS Tutorial ▶
0x8e3f9bfd2da6cb29:0x239d635520a33914,Bogotá,12,0.8169,0:04:05,20210902,CorelDRAW MAGIC ››Text EFFECT‹‹ 🌟 TIPS Tutorial ▶
0x12a4b518d7addc71:0xd6b932f372b5918,Mataró,0,0.0,,20210902,CorelDRAW MAGIC ››Text EFFECT‹‹ 🌟 TIPS Tutorial ▶
0x8e666ca49582d39f:0xe35525b271c7ef85,San Cristóbal,0,0.0,,20210902,CorelDRAW MAGIC ››Text EFFECT‹‹ 🌟 TIPS Tutorial ▶
Total,,840,8.3036,0:00:35,20210725,🐙 LOGOTIPO + ILUSTRACIÓN Speedrun SHORT en Corel DRAW
Total,,796,36.2929,0:02:44,20210629,⚡ CorelDRAW BEST Techniques for BEGINNERS & EXPERTS TUTORIAL YIN YANG TUTORIAL (2021) ☯
0x9167f3e5361625b9:0x2a1629113760cbfc,Juliaca,0,0.0,,20210629,⚡ CorelDRAW BEST Techniques for BEGINNERS & EXPERTS TUTORIAL YIN YANG TUTORIAL (2021) ☯
Total,,2948,222.2494,0:04:31,20211109,🧐 Te ENSEÑO estas TÉCNICAS de DIBUJO para DISEÑAR en CorelDRAW 🏠 ► TUTORIAL
0x9105c5f619ee3ec7:0x14206cb9cc452e4a,Lima,68,6.593,0:05:49,20211109,🧐 Te ENSEÑO estas TÉCNICAS de DIBUJO para DISEÑAR en CorelDRAW 🏠 ► TUTORIAL
0x85ce0026db097507:0x54061076265ee841,Ciudad de México,39,3.3384,0:05:08,20211109,🧐 Te ENSEÑO estas TÉCNICAS de DIBUJO para DISEÑAR en CorelDRAW 🏠 ► TUTORIAL
0x8e3f9bfd2da6cb29:0x239d635520a33914,Bogotá,17,1.8317,0:06:27,20211109,🧐 Te ENSEÑO estas TÉCNICAS de DIBUJO para DISEÑAR en CorelDRAW 🏠 ► TUTORIAL
0x910e964104fb82f1:0xf8e45b61c55982fa,Huancayo,0,0.0,,20211109,🧐 Te ENSEÑO estas TÉCNICAS de DIBUJO para DISEÑAR en CorelDRAW 🏠 ► TUTORIAL
0x91127d88f5b2bee9:0xe9b3cb843a70a16e,Ayacucho,0,0.0,,20211109,🧐 Te ENSEÑO estas TÉCNICAS de DIBUJO para DISEÑAR en CorelDRAW 🏠 ► TUTORIAL
0x91424b2773cb5e5d:0x58f3d5dd63505554,José Luis Bustamante y Rivero,0,0.0,,20211109,🧐 Te ENSEÑO estas TÉCNICAS de DIBUJO para DISEÑAR en CorelDRAW 🏠 ► TUTORIAL
Total,,722,4.5453,0:00:22,20211122,¿Puedes adivinar lo que es_ DelcaVideography #short
0x85ee7b7f08773a91:0x72204fd3f1183c66,Nacajuca,26,0.2378,0:00:32,20211122,¿Puedes adivinar lo que es_ DelcaVideography #short
